"State","Gas","2022 Emission Estimate (MMT CO2 Eq.)","Lower Bound (MMT CO2 Eq.)","Upper Bound (MMT CO2 Eq.)","Lower Bound (Percent)","Upper Bound (Percent)"
"Alabama","CO2",0.43,0.09,0.78,-79.38,80.17
"Alabama","CH4",0.02,0.01,0.04,-79.05,79.54
"Alabama","N2O",0.02,0,0.03,-79.32,80.08
"Alaska","CO2",57.44,12.15,103.58,-78.84,80.34
"Alaska","CH4",3.69,0.75,6.63,-79.61,79.87
"Alaska","N2O",2.53,0.51,4.54,-79.68,79.6
"Arizona","CO2",0.57,0.12,1.02,-79.03,79.47
"Arizona","CH4",0.04,0.01,0.07,-79.6,80.27
"Arizona","N2O",0.03,0.01,0.04,-79.04,79.23
"Arkansas","CO2",1.09,0.22,1.96,-79.8,79.72
"Arkansas","CH4",0.06,0.01,0.1,-79.24,79.42
"Arkansas","N2O",0.05,0.01,0.09,-79.88,79.27
"California","CO2",9.62,5.79,13.47,-39.8,40
"California","CH4",0.72,0.5,0.93,-29.79,30.02
"California","N2O",0.42,0.26,0.6,-39.59,40.99
"Colorado","CO2",1.13,0.23,2.01,-79.38,78.63
"Colorado","CH4",0.1,0.02,0.18,-79.97,79.21
"Colorado","N2O",0.05,0.01,0.09,-80.01,80.12
"Connecticut","CO2",0,0,0.01,-41.53,41.6
"Connecticut","CH4",0,0,0,-51.98,51.67
"Connecticut","N2O",0,0,0,-41.95,41.66
"Florida","CO2",1.42,0.29,2.56,-79.2,80.79
"Florida","CH4",0.09,0.02,0.16,-79.53,79.23
"Florida","N2O",0.06,0.01,0.11,-78.77,78.77
"Georgia","CO2",0.7,0.15,1.25,-79.19,79.42
"Georgia","CH4",0.04,0.01,0.07,-79.65,79.65
"Georgia","N2O",0.03,0.01,0.06,-79.86,78.97
"Hawaii","CO2",0,0,0,-126.07,141.53
"Hawaii","CH4",0,0,0,-111.93,184.77
"Hawaii","N2O",0,0,0,-112.61,181.03
"Idaho","CO2",9.88,7.63,12.15,-22.8,22.91
"Idaho","CH4",0.87,0.64,1.1,-26.37,26.33
"Idaho","N2O",0.43,0.34,0.53,-22.87,22.85
"Illinois","CO2",0.02,0,0.04,-80.08,78.71
"Illinois","CH4",0,0,0,-79.24,79.28
"Illinois","N2O",0,0,0,-80.17,79.89
"Indiana","CO2",0.02,0,0.04,-79.48,79.29
"Indiana","CH4",0,0,0,-80.76,78.86
"Indiana","N2O",0,0,0,-80.19,79.16
"Iowa","CO2",0,0,0.01,-78.9,79.03
"Iowa","CH4",0,0,0,-78.76,80.24
"Iowa","N2O",0,0,0,-79.82,78.02
"Kansas","CO2",0.19,0.04,0.34,-79.5,79.75
"Kansas","CH4",0.01,0,0.02,-78.83,78.58
"Kansas","N2O",0.01,0,0.02,-79.9,80.03
"Kentucky","CO2",1,0.26,1.74,-73.78,73.45
"Kentucky","CH4",0.05,0.02,0.08,-63.11,64.43
"Kentucky","N2O",0.04,0.01,0.08,-73.54,73.86
"Louisiana","CO2",0.55,0.11,0.98,-79.41,80.32
"Louisiana","CH4",0.03,0.01,0.06,-80.03,80.11
"Louisiana","N2O",0.02,0,0.04,-79.86,78.51
"Maine","CO2",0,0,0.01,-79.3,79.37
"Maine","CH4",0,0,0,-80.16,79.3
"Maine","N2O",0,0,0,-79.86,79.07
"Maryland","CO2",0,0,0.01,-78.66,80.31
"Maryland","CH4",0,0,0,-79.76,78.68
"Maryland","N2O",0,0,0,-79.32,79.48
"Massachusetts","CO2",0.04,0.03,0.05,-23.68,23.64
"Massachusetts","CH4",0,0,0,-16.5,16.54
"Massachusetts","N2O",0,0,0,-24.01,23.91
"Michigan","CO2",0.03,0.01,0.06,-80.1,78.46
"Michigan","CH4",0,0,0,-78.69,78.92
"Michigan","N2O",0,0,0,-78.94,78.99
"Minnesota","CO2",0.02,0,0.03,-80.07,79.7
"Minnesota","CH4",0,0,0,-79.26,80.36
"Minnesota","N2O",0,0,0,-79.16,78.66
"Mississippi","CO2",0.32,0.06,0.57,-79.86,79.74
"Mississippi","CH4",0.02,0,0.03,-80.45,79.93
"Mississippi","N2O",0.01,0,0.02,-79.78,79.61
"Missouri","CO2",0.35,0.07,0.63,-79.8,79.87
"Missouri","CH4",0.02,0,0.03,-79.45,80.1
"Missouri","N2O",0.02,0,0.03,-80.16,79.89
"Montana","CO2",2.22,1.6,2.85,-28.15,27.97
"Montana","CH4",0.19,0.17,0.2,-9.55,9.61
"Montana","N2O",0.1,0.07,0.12,-27.56,27.65
"Nebraska","CO2",0.19,0.1,0.28,-48.02,47.94
"Nebraska","CH4",0.01,0.01,0.01,-21.95,21.99
"Nebraska","N2O",0.01,0,0.01,-48.25,48.1
"Nevada","CO2",0.05,0.03,0.07,-39.48,38.83
"Nevada","CH4",0,0,0.01,-31.45,31.54
"Nevada","N2O",0,0,0,-39.05,38.99
"New Hampshire","CO2",0.01,0,0.01,-70.36,70.67
"New Hampshire","CH4",0,0,0,-52.57,52.46
"New Hampshire","N2O",0,0,0,-71.04,71.69
"New Jersey","CO2",0.08,0.06,0.1,-26.23,26.12
"New Jersey","CH4",0,0,0.01,-35.35,35.24
"New Jersey","N2O",0,0,0,-26.19,26.45
"New Mexico","CO2",15.84,6.48,25.25,-59.12,59.42
"New Mexico","CH4",1.04,0.79,1.28,-23.65,23.42
"New Mexico","N2O",0.7,0.29,1.11,-58.76,58.64
"New York","CO2",0,0,0,-40.84,40.63
"New York","CH4",0,0,0,-39.44,39.11
"New York","N2O",0,0,0,-40.53,40.48
"North Carolina","CO2",0.17,0.05,0.28,-68.3,68.1
"North Carolina","CH4",0.01,0,0.02,-79.78,78.89
"North Carolina","N2O",0.01,0,0.01,-68.3,68.95
"North Dakota","CO2",0,0,0,-80.02,79
"North Dakota","CH4",0,0,0,-71.16,71.37
"North Dakota","N2O",0,0,0,-80.18,78.63
"Ohio","CO2",0.05,0.03,0.07,-43.94,44.43
"Ohio","CH4",0,0,0,-27.36,27.69
"Ohio","N2O",0,0,0,-43.58,43.15
"Oklahoma","CO2",1.18,0.24,2.12,-79.48,79.58
"Oklahoma","CH4",0.06,0.01,0.11,-78.86,80.75
"Oklahoma","N2O",0.05,0.01,0.09,-78.42,78.99
"Oregon","CO2",16.24,11.66,20.75,-28.22,27.8
"Oregon","CH4",1.39,1.22,1.56,-12.26,12.31
"Oregon","N2O",0.71,0.51,0.91,-28,27.9
"Pennsylvania","CO2",0.02,0,0.04,-79.2,79.49
"Pennsylvania","CH4",0,0,0,-80.31,79.36
"Pennsylvania","N2O",0,0,0,-78.99,78.27
"South Carolina","CO2",0.17,0.03,0.3,-79.44,79.48
"South Carolina","CH4",0.01,0,0.02,-78.78,80.37
"South Carolina","N2O",0.01,0,0.01,-79.68,79.82
"South Dakota","CO2",0.08,0.01,0.14,-81.52,81.34
"South Dakota","CH4",0,0,0.01,-79.85,79.49
"South Dakota","N2O",0,0,0.01,-80.2,81.39
"Tennessee","CO2",0.11,0.04,0.18,-66.84,65.89
"Tennessee","CH4",0.01,0,0.01,-56.77,55.87
"Tennessee","N2O",0,0,0.01,-66.71,65.96
"Texas","CO2",0.63,0.13,1.14,-78.9,79.95
"Texas","CH4",0.03,0.01,0.06,-80.03,79.65
"Texas","N2O",0.03,0.01,0.05,-80.54,79.96
"Utah","CO2",0.58,0.31,0.85,-47,47.03
"Utah","CH4",0.05,0.02,0.07,-48.3,48.51
"Utah","N2O",0.03,0.01,0.04,-45.92,46.33
"Vermont","CO2",0,0,0,-17.79,18
"Vermont","CH4",0,0,0,-11.42,11.46
"Vermont","N2O",0,0,0,-17.92,17.97
"Virginia","CO2",0.17,0.03,0.3,-79.95,78.52
"Virginia","CH4",0.01,0,0.02,-79.39,80.69
"Virginia","N2O",0.01,0,0.01,-80.04,79.04
"Washington","CO2",6.05,3.95,8.13,-34.66,34.47
"Washington","CH4",0.54,0.44,0.65,-19.21,19.01
"Washington","N2O",0.27,0.17,0.36,-34.82,34.33
"West Virginia","CO2",0.19,0.04,0.34,-79.46,78.8
"West Virginia","CH4",0.01,0,0.02,-80.04,78.61
"West Virginia","N2O",0.01,0,0.02,-79.5,79.93
"Wisconsin","CO2",0.07,0.04,0.1,-48.81,48.76
"Wisconsin","CH4",0,0,0.01,-60.07,60.46
"Wisconsin","N2O",0,0,0,-48.33,48.66
"Wyoming","CO2",0.3,0.19,0.41,-36.97,37.02
"Wyoming","CH4",0.02,0.01,0.04,-57.02,58.09
"Wyoming","N2O",0.01,0.01,0.02,-36.7,37.11
"U.S. Territories","CO2",0,0,0,-124.41,139.54
"U.S. Territories","CH4",0,0,0,-113.24,187.77
"U.S. Territories","N2O",0,0,0,-112.5,182.38
